[2025-10-23 21:47:06] [INFO    ] discord.client: logging in using static token
[2025-10-23 21:47:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-23 21:47:06] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-23 21:47:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1430461817175408640', 'username': 'Guz bot', 'avatar': '6c6bd19c50c11d01b70c25492151f243', 'discriminator': '9865', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'c924b0291204ccfe702adf1bb00d3b53', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-23 21:47:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-23 21:47:07] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-23 21:47:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1430461817175408640', 'name': 'Guz bot', 'icon': '6c6bd19c50c11d01b70c25492151f243', 'description': 'prefix: ? ; Source: https://github.com/Bani4kaq/Guz-bot \n\nGomna ', 'type': None, 'bot': {'id': '1430461817175408640', 'username': 'Guz bot', 'avatar': '6c6bd19c50c11d01b70c25492151f243', 'discriminator': '9865', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'c924b0291204ccfe702adf1bb00d3b53', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'de59ebc6b06a269d645533a299644997f6409b29201ae4b9cf2e30a38ae720f6', 'flags': 565248, 'tags': ['Laina', 'General', 'Automod'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1025650665046941716', 'username': 'bani4ka', 'avatar': '6995a088c3030eb79c33d1cd78856342', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': '6f9fa0e83b4af3c4d1dfe82adcda8e62', 'accent_color': 4148560, 'global_name': 'bani', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#3f4d50', 'clan': {'identity_guild_id': '1399499826164404254', 'identity_enabled': True, 'tag': 'Moth', 'badge': 'a2994780f38f395e66a24012b6ec85a9'}, 'primary_guild': {'identity_guild_id': '1399499826164404254', 'identity_enabled': True, 'tag': 'Moth', 'badge': 'a2994780f38f395e66a24012b6ec85a9'}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 230, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-23 21:47:07] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-23 21:47:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-4739",{"micros":0.0}]']}}
[2025-10-23 21:47:07] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-23 21:47:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
